id,X_grid,Y_grid,N_count,V_mean,V_sigma,h1,h2,h3,h4,v0_cell,s_cell,nonempty
151,4.6000004,-0.76666665,62.0,-163.55872,36.873093,0.3073729,0.016670005,0.17634843,0.086920455,-175.317,38.25407,True
152,5.0,-0.76666665,56.0,-166.76381,33.06064,0.002441034,0.05323501,0.24791072,-0.08450686,-166.84163,31.882381,True
153,5.4,-0.76666665,0.0,0.0,0.0,0.25242162,0.13386548,0.18898277,-0.043467697,-177.25494,25.921455,False
154,5.8,-0.76666665,0.0,0.0,0.0,-0.13477637,-0.07623206,-0.0059919646,-0.19042477,-167.51285,29.41573,False
155,6.2000003,-0.76666665,0.0,0.0,0.0,-0.076452896,0.074361965,-0.29658797,0.057237294,-188.8681,23.485956,False
156,6.6000004,-0.76666665,0.0,0.0,0.0,0.10865761,-0.0961636,0.11819683,-0.112420835,-180.3878,34.489307,False
157,7.0,-0.76666665,0.0,0.0,0.0,0.046486154,-0.21785626,-0.015940573,-0.07905222,-200.71869,29.08472,False
158,7.4,-0.76666665,0.0,0.0,0.0,0.22316372,-0.015188038,0.15151659,-0.19052492,-178.59091,18.822575,False
159,7.8,-0.76666665,0.0,0.0,0.0,-0.40714654,0.28944054,0.26886314,-0.13926817,-189.2917,16.66667,False
160,-7.8,-0.7,0.0,0.0,0.0,-0.077654846,0.15240899,-0.32001445,-0.31752035,187.38959,24.39812,False
161,-7.4,-0.7,0.0,0.0,0.0,-0.39592865,0.11526084,0.074682556,-0.20239952,201.45749,21.106009,False
162,-7.0,-0.7,0.0,0.0,0.0,-0.15113798,0.24492697,0.13642037,-0.33098826,190.01965,26.342545,False
163,-6.6,-0.7,0.0,0.0,0.0,0.12064476,0.12011734,-0.001258869,-0.29787368,188.8625,19.005154,False
164,-6.2,-0.7,0.0,0.0,0.0,0.10913829,-0.029299563,-0.0455092,-0.027578317,167.94273,34.10555,False
165,-5.8,-0.7,0.0,0.0,0.0,0.17729408,0.060538385,-0.27213788,-0.061131235,163.57025,32.735786,False
166,-5.4,-0.7,69.0,175.54515,28.866476,-0.26068038,-0.02502191,-0.012367109,0.09262607,183.49185,30.484467,True
167,-5.0,-0.7,84.0,165.90361,32.095592,0.16334903,-0.08811764,-0.15328528,-0.08765051,160.21265,34.839283,True
168,-4.6,-0.7,94.0,157.50024,38.787457,0.10752725,0.1834788,-0.10634104,-0.20835145,153.76675,34.721455,True
169,-4.2,-0.7,127.0,152.66147,39.861797,-0.26991338,0.22726634,-0.26645383,0.04744827,162.29039,35.674103,True
170,-3.8000002,-0.7,147.0,147.81706,47.30868,-0.10499049,0.024339637,0.02887568,-0.05789863,152.72693,46.76474,True
171,-3.4,-0.7,164.0,136.98816,39.12702,0.019334849,0.06969934,-0.09423479,-0.011155398,136.26628,37.336746,True
172,-2.9999995,-0.7,196.0,116.020096,47.10567,-0.087984025,-0.14476971,0.009207946,-0.0016332641,120.69039,53.081394,True
173,-2.5999997,-0.7,215.0,115.103745,49.55056,-0.025026599,0.015200514,0.03749189,-0.032543566,116.33108,49.041534,True
174,-2.1999998,-0.7,286.0,97.95278,51.34937,-0.10487512,-0.11309517,-0.039294638,0.00952554,103.86726,56.395103,True
175,-1.8000001,-0.7,291.0,84.4867,52.44077,-0.020318637,0.031768356,0.007627189,-0.013923187,85.52929,51.311184,True
176,-1.4,-0.7,378.0,71.81542,54.56186,0.055811726,0.07097024,-0.0700177,0.013950927,68.908325,52.08781,True
177,-0.99999964,-0.7,408.0,47.118484,52.969597,-0.06298644,-0.078730986,0.07342807,-0.028346913,50.665653,56.31586,True
178,-0.59999967,-0.7,400.0,29.957191,63.23991,-0.049558822,0.059646897,-0.0568284,-0.0045269057,32.970314,60.799282,True
179,-0.19999993,-0.7,460.0,11.784666,65.03586,0.09767334,0.010351603,-0.017412694,0.09152688,5.4485283,64.87067,True
180,0.20000029,-0.7,428.0,-9.480728,60.80936,-0.026597338,-0.11347066,-0.018962558,0.017600367,-7.7147975,66.39507,True
181,0.6000004,-0.7,426.0,-34.760113,65.352486,-0.011353592,-0.004019503,0.031061726,0.00054653024,-34.01597,65.54329,True
182,1.0,-0.7,379.0,-55.37613,59.14101,0.107564285,0.04115775,0.019787619,0.07663479,-61.594246,57.808426,True
183,1.4000001,-0.7,368.0,-67.342415,59.346077,-0.004042543,-0.029245446,0.07802194,-0.00059198524,-67.09742,60.613247,True
184,1.8000002,-0.7,301.0,-84.85252,53.409134,0.17524903,-0.027339818,-0.05468988,-0.06950556,-94.55502,55.364174,True
185,2.2000003,-0.7,283.0,-104.946045,51.547165,0.22648521,0.1905454,-0.021189338,-0.09242863,-115.523705,46.703438,True
186,2.6000004,-0.7,240.0,-105.58728,48.69086,-0.16881368,-0.012331788,0.14946248,0.0124160675,-97.17205,49.849297,True
187,3.0,-0.7,204.0,-131.64693,42.566494,-0.007989715,-0.06528345,-0.026872179,-0.099371076,-131.29,44.68032,True
188,3.4,-0.7,162.0,-129.5723,47.72328,-0.12557857,0.014513773,-0.02011173,-0.06502766,-123.59342,47.61035,True
189,3.8000002,-0.7,159.0,-146.20184,40.97279,-0.029648393,-0.08796444,0.14270996,-0.014800799,-144.90295,43.808823,True
190,4.2000003,-0.7,101.0,-153.94255,39.128693,-0.019482153,-0.035841428,-0.0138570815,-0.10962472,-153.16003,40.167645,True
191,4.6000004,-0.7,97.0,-161.51952,37.993034,-0.046184976,-0.13664654,0.03120275,-0.06981279,-159.56331,42.355556,True
192,5.0,-0.7,73.0,-167.36534,36.331696,-0.013307673,0.23275243,0.09433622,-0.1401141,-166.9459,31.515715,True
193,5.4,-0.7,55.0,-171.16383,29.397066,0.09876886,0.049928844,0.02790121,-0.16404605,-173.98283,28.541527,True
194,5.8,-0.7,0.0,0.0,0.0,-0.41179883,0.57852966,-0.011275898,-0.13536635,-159.34299,27.432446,False
195,6.2000003,-0.7,0.0,0.0,0.0,-0.017074002,0.0960643,0.26772076,0.09787943,-181.82278,25.27652,False
196,6.6000004,-0.7,0.0,0.0,0.0,0.062276386,-0.15168533,0.12582426,0.022147665,-184.67091,31.616955,False
197,7.0,-0.7,0.0,0.0,0.0,-0.26838958,-0.05576698,-0.033867452,-0.04024974,-186.15118,19.029736,False
198,7.4,-0.7,0.0,0.0,0.0,0.028772136,0.22764735,0.066338524,-0.34908187,-183.2966,21.352657,False
199,7.8,-0.7,0.0,0.0,0.0,-0.018833034,0.13480914,0.051426835,-0.32261968,-197.6154,15.404374,False
200,-7.8,-0.63333327,0.0,0.0,0.0,-0.06804059,-0.15745212,-0.08940753,-0.05895801,190.82391,22.91571,False
201,-7.4,-0.63333327,0.0,0.0,0.0,0.15098366,-0.17455362,-0.21165018,-0.006078799,188.90271,27.133575,False
202,-7.0,-0.63333327,0.0,0.0,0.0,0.27791736,0.0284691,-0.022276316,-0.025231984,187.69527,25.803919,False
203,-6.6,-0.63333327,51.0,192.72304,22.052849,-0.46477225,0.039343324,-0.24934264,0.3458017,203.90865,24.06684,True
204,-6.2,-0.63333327,78.0,182.75676,29.73207,-0.20177743,0.19515163,-0.4309714,0.23769034,188.15456,26.751186,True
205,-5.8,-0.63333327,78.0,179.32341,30.70999,0.024561588,0.19604868,-0.11898193,-0.030460862,178.65579,27.179909,True
206,-5.4,-0.63333327,96.0,172.49803,36.5388,0.10200126,0.15544575,-0.19657564,-0.16252029,169.10904,33.225,True
207,-5.0,-0.63333327,141.0,166.77287,32.47526,-0.17526703,-0.05105568,0.07816765,-0.06611415,172.78236,34.28767,True
208,-4.6,-0.63333327,154.0,162.07883,35.66396,-0.016953472,0.09180764,-0.16209617,-0.110744014,162.64774,33.55648,True
209,-4.2,-0.63333327,185.0,152.7812,37.600956,0.15132225,0.09850798,-0.06223836,-0.10826283,147.39618,35.586594,True
210,-3.8000002,-0.63333327,210.0,148.22012,39.873238,-0.022279903,-0.04400443,-0.17496334,0.021957329,149.13774,41.185978,True
211,-3.4,-0.63333327,238.0,131.53513,44.65591,-0.05645918,0.18895984,-0.051730998,-0.14353193,133.7776,39.71901,True
212,-2.9999995,-0.63333327,303.0,122.21279,49.401913,-0.14186503,0.10428471,-0.12531981,0.036161907,128.81348,46.527775,True
213,-2.5999997,-0.63333327,352.0,108.559685,49.76677,-0.123999946,-0.12054298,0.050063092,-0.029379774,115.39892,55.15518,True
214,-2.1999998,-0.63333327,421.0,99.6691,50.33188,-0.01581959,0.080397055,0.006904755,-0.042084195,100.42363,47.698925,True
215,-1.8000001,-0.63333327,478.0,86.97392,50.25083,-0.10971432,-0.008756008,0.0026502216,0.010370741,92.55574,50.875835,True
216,-1.4,-0.63333327,521.0,67.92266,59.74207,-0.021861786,-0.011484595,-0.047928333,-0.011355322,69.239815,60.247772,True
217,-0.99999964,-0.63333327,525.0,51.798122,56.592278,0.099150755,-0.035748746,-0.070322,0.014666867,46.009453,58.382526,True
218,-0.59999967,-0.63333327,609.0,34.504528,62.066483,0.092612214,0.09520299,-0.0040152087,0.01691538,29.087696,58.48927,True
219,-0.19999993,-0.63333327,630.0,15.810661,64.39769,0.034404974,-0.026160676,-0.0042090616,0.0897776,13.551521,65.663414,True
