id,R_grid,z_grid,phi_grid,N_count
255,5.5,-0.75,1.5707965,805.0
256,6.5,-0.75,1.5707965,542.0
257,7.5,-0.75,1.5707965,344.0
258,8.5,-0.75,1.5707965,206.0
259,9.5,-0.75,1.5707965,119.0
260,0.5,-0.24999997,1.5707965,3787.0
261,1.5,-0.24999997,1.5707965,8381.0
262,2.5,-0.24999997,1.5707965,10133.0
263,3.5,-0.24999997,1.5707965,9998.0
264,4.5,-0.24999997,1.5707965,9172.0
265,5.5,-0.24999997,1.5707965,7636.0
266,6.5,-0.24999997,1.5707965,6143.0
267,7.5,-0.24999997,1.5707965,4939.0
268,8.5,-0.24999997,1.5707965,3719.0
269,9.5,-0.24999997,1.5707965,2858.0
270,0.5,0.25,1.5707965,3769.0
271,1.5,0.25,1.5707965,8511.0
272,2.5,0.25,1.5707965,9952.0
273,3.5,0.25,1.5707965,9959.0
274,4.5,0.25,1.5707965,8983.0
275,5.5,0.25,1.5707965,7692.0
276,6.5,0.25,1.5707965,6077.0
277,7.5,0.25,1.5707965,4744.0
278,8.5,0.25,1.5707965,3781.0
279,9.5,0.25,1.5707965,2811.0
280,0.5,0.75,1.5707965,691.0
281,1.5,0.75,1.5707965,1574.0
282,2.5,0.75,1.5707965,1756.0
283,3.5,0.75,1.5707965,1456.0
284,4.5,0.75,1.5707965,1155.0
285,5.5,0.75,1.5707965,794.0
286,6.5,0.75,1.5707965,537.0
287,7.5,0.75,1.5707965,338.0
288,8.5,0.75,1.5707965,222.0
289,9.5,0.75,1.5707965,116.0
290,0.5,1.25,1.5707965,42.0
291,1.5,1.25,1.5707965,102.0
292,2.5,1.25,1.5707965,87.0
293,3.5,1.25,1.5707965,73.0
294,4.5,1.25,1.5707965,35.0
295,5.5,1.25,1.5707965,17.0
296,6.5,1.25,1.5707965,14.0
297,7.5,1.25,1.5707965,6.0
298,8.5,1.25,1.5707965,0.0
299,9.5,1.25,1.5707965,0.0
300,0.5,-1.25,2.6179938,38.0
301,1.5,-1.25,2.6179938,92.0
302,2.5,-1.25,2.6179938,91.0
303,3.5,-1.25,2.6179938,70.0
304,4.5,-1.25,2.6179938,36.0
305,5.5,-1.25,2.6179938,17.0
306,6.5,-1.25,2.6179938,9.0
307,7.5,-1.25,2.6179938,1.0
308,8.5,-1.25,2.6179938,3.0
309,9.5,-1.25,2.6179938,0.0
310,0.5,-0.75,2.6179938,699.0
311,1.5,-0.75,2.6179938,1536.0
312,2.5,-0.75,2.6179938,1678.0
313,3.5,-0.75,2.6179938,1478.0
314,4.5,-0.75,2.6179938,1173.0
315,5.5,-0.75,2.6179938,812.0
316,6.5,-0.75,2.6179938,535.0
317,7.5,-0.75,2.6179938,361.0
318,8.5,-0.75,2.6179938,223.0
319,9.5,-0.75,2.6179938,118.0
