id,R_grid,z_grid,phi_grid,mass
186,6.5,-2.5,0.52359885,8070794.5
187,7.5,-2.5,0.52359885,5983055.5
188,8.5,-2.5,0.52359885,4415251.5
189,9.5,-2.5,0.52359885,3199465.5
190,0.5,-1.5,0.52359885,26712656.0
191,1.5,-1.5,0.52359885,62912656.0
192,2.5,-1.5,0.52359885,80992660.0
193,3.5,-1.5,0.52359885,84676660.0
194,4.5,-1.5,0.52359885,80184660.0
195,5.5,-1.5,0.52359885,71380660.0
196,6.5,-1.5,0.52359885,60552656.0
197,7.5,-1.5,0.52359885,49608656.0
198,8.5,-1.5,0.52359885,39596656.0
199,9.5,-1.5,0.52359885,31812656.0
200,0.5,-0.49999994,0.52359885,95012660.0
201,1.5,-0.49999994,0.52359885,228544660.0
202,2.5,-0.49999994,0.52359885,284876640.0
203,3.5,-0.49999994,0.52359885,297836640.0
204,4.5,-0.49999994,0.52359885,282892640.0
205,5.5,-0.49999994,0.52359885,254656660.0
206,6.5,-0.49999994,0.52359885,218808660.0
207,7.5,-0.49999994,0.52359885,183272660.0
208,8.5,-0.49999994,0.52359885,148988660.0
209,9.5,-0.49999994,0.52359885,120528660.0
210,0.5,0.5,0.52359885,95316660.0
211,1.5,0.5,0.52359885,227444660.0
212,2.5,0.5,0.52359885,283256640.0
213,3.5,0.5,0.52359885,296804640.0
214,4.5,0.5,0.52359885,283144640.0
215,5.5,0.5,0.52359885,253740660.0
216,6.5,0.5,0.52359885,218104660.0
217,7.5,0.5,0.52359885,182524660.0
218,8.5,0.5,0.52359885,150136660.0
219,9.5,0.5,0.52359885,121012660.0
220,0.5,1.5,0.52359885,26776656.0
221,1.5,1.5,0.52359885,62604656.0
222,2.5,1.5,0.52359885,80224660.0
223,3.5,1.5,0.52359885,84348660.0
224,4.5,1.5,0.52359885,79864660.0
225,5.5,1.5,0.52359885,71644660.0
226,6.5,1.5,0.52359885,60316656.0
227,7.5,1.5,0.52359885,49472656.0
228,8.5,1.5,0.52359885,39764656.0
229,9.5,1.5,0.52359885,30812656.0
230,0.5,2.5,0.52359885,4983180.5
231,1.5,2.5,0.52359885,11593953.0
232,2.5,2.5,0.52359885,13529469.0
233,3.5,2.5,0.52359885,13629444.0
234,4.5,2.5,0.52359885,12093828.0
235,5.5,2.5,0.52359885,10170309.0
236,6.5,2.5,0.52359885,7882818.0
237,7.5,2.5,0.52359885,6195029.0
238,8.5,2.5,0.52359885,4591229.5
239,9.5,2.5,0.52359885,3391429.5
240,0.5,-2.5,1.5707965,5099166.0
241,1.5,-2.5,1.5707965,10978107.0
242,2.5,-2.5,1.5707965,13585455.0
243,3.5,-2.5,1.5707965,13645440.0
244,4.5,-2.5,1.5707965,12201801.0
245,5.5,-2.5,1.5707965,10018347.0
246,6.5,-2.5,1.5707965,7978806.0
247,7.5,-2.5,1.5707965,5987055.0
248,8.5,-2.5,1.5707965,4407252.5
249,9.5,-2.5,1.5707965,3203464.8
250,0.5,-1.5,1.5707965,26916656.0
251,1.5,-1.5,1.5707965,63148656.0
252,2.5,-1.5,1.5707965,79940660.0
253,3.5,-1.5,1.5707965,84864660.0
254,4.5,-1.5,1.5707965,79828660.0
255,5.5,-1.5,1.5707965,71084660.0
256,6.5,-1.5,1.5707965,60636656.0
257,7.5,-1.5,1.5707965,50072656.0
258,8.5,-1.5,1.5707965,39768656.0
259,9.5,-1.5,1.5707965,31532656.0
260,0.5,-0.49999994,1.5707965,95416660.0
261,1.5,-0.49999994,1.5707965,228024660.0
262,2.5,-0.49999994,1.5707965,284840640.0
